new_family_index,old_family_index,family,level,family_num
203,226,Delesseriaceae,1,10233
204,231,Atylidae,2,10192
205,174,Pulleniidae,2,10095
206,177,Alabaminidae,2,10059
207,199,Zeidae,5,9957
208,211,Mullidae,4,9899
209,225,Engraulidae,3,9535
210,212,Chromadoridae,2,9498
211,244,Escharellidae,2,9291
212,243,Bodotriidae,2,9259
213,191,Buliminidae,2,9233
214,241,Janiridae,2,9218
215,152,Sagittidae,3,9147
216,219,Campanulariidae,3,9126
217,205,Ellipsolagenidae,2,9099
218,229,Corycaeidae,2,9041
219,247,Edwardsiidae,2,9038
220,249,Plagiogrammaceae,1,8989
221,246,Synechococcaceae,1,8968
222,251,Osmeridae,4,8768
223,254,Leptochitonidae,2,8727
224,252,Cryptomonadaceae,1,8696
225,253,Phyllophoraceae,1,8642
226,256,Philinidae,3,8589
227,255,Galatheidae,3,8541
228,238,Astartidae,2,8252
229,233,Oxyphysaceae,1,8226
230,259,Stichaeidae,3,8167
231,248,Inachidae,3,8061
232,258,Pandalidae,3,8054
233,262,Photidae,2,8004
234,236,Melonidae,2,7992
235,264,Cylichnidae,3,7936
236,267,Bitectiporidae,2,7824
237,260,Pectinidae,2,7760
238,234,Euphausiidae,2,7693
239,213,Gavelinellidae,2,7623
240,270,Retusidae,3,7558
241,272,Myctophidae,3,7457
242,275,Maeridae,2,7318
243,274,Zosteraceae,1,7299
244,242,Noctilucaceae,1,7261
245,240,Pseudoparrellidae,2,7236
246,278,Alcyonidiidae,2,7196
247,281,Unciolidae,2,7005
248,279,Cirolanidae,2,6976
249,280,Calyptraeidae,2,6899
250,284,Gomphosphaeriaceae,1,6829
251,198,Pulleniatinidae,2,6803
252,285,Donacidae,2,6665
253,287,Melinnidae,2,6598
254,271,Desmodoridae,2,6596
255,273,Elphidiidae,2,6593
256,237,Eggerellidae,2,6516
257,269,Euchaetidae,2,6499
258,290,Gigartinaceae,1,6484
259,288,Actiniidae,3,6433
260,295,Diogenidae,3,6390
261,294,Diploneidaceae,1,6388
262,293,Sternoptychidae,3,6387
263,297,Aphroditidae,2,6333
264,228,Oikopleuridae,2,6329
265,261,Ectinosomatidae,2,6294
266,299,Parechinidae,2,6290
267,301,Gloeotilaceae,1,6288
268,298,Cyclopteridae,4,6230
269,265,Brachionidae,2,6215
270,303,Cymatosiraceae,1,6179
