new_family_index,old_family_index,family,level,family_num
811,920,Ophiopholidae,2,470
812,948,Gorgoniidae,2,470
813,896,Scaridae,3,470
814,900,Cordylophoridae,3,468
815,946,Stelligeridae,2,468
816,845,Cassigerinellidae,2,462
817,953,Cutleriaceae,1,454
818,708,Psammosphaeridae,2,452
819,935,Dotidae,2,450
820,913,Ellipsoidinidae,2,450
821,895,Cornuspiridae,2,449
822,955,Paraphronimidae,2,448
823,736,Cypridinidae,2,447
824,888,Plectofrondiculariidae,2,445
825,962,Coelogynoporidae,2,442
826,923,Hippocrepinidae,2,442
827,865,Pandeidae,3,441
828,949,Dorididae,2,441
829,952,Abylidae,3,438
830,663,Rhopalonematidae,3,437
831,941,Piscicolidae,2,436
832,957,Spinocalanidae,2,430
833,947,Akeridae,2,430
834,936,Rhabdonemataceae,1,429
835,958,Myxillidae,2,429
836,934,Tetraodontidae,4,428
837,961,Phasianellidae,2,427
838,841,Siphogenerinoididae,2,427
839,849,Atherinidae,2,422
840,801,Epsilonematidae,2,422
841,974,Tonicellidae,2,420
842,880,Oculinidae,2,417
843,964,Thaerocytheridae,2,416
844,975,Platyscelidae,2,414
845,954,Torpedinidae,5,413
846,716,Hormosinidae,2,413
847,982,Phaeodactylaceae,1,412
848,980,Corallimorphidae,3,412
849,976,Anoplostomatidae,2,412
850,932,Aegialoalaimidae,2,410
851,983,Cassidae,3,410
852,970,Halacaridae,3,405
853,969,Subeucalanidae,2,404
854,987,Flustrellidridae,2,402
855,593,Lituolidae,2,398
856,989,Benthesicymidae,4,398
857,984,Creseidae,2,395
858,959,Goniodorididae,3,394
859,747,Guembelitriidae,2,389
860,978,Gammarellidae,2,387
861,990,Pycnogonidae,3,385
862,851,Actinommidae,2,385
863,761,Lutjanidae,4,384
864,1011,Trichocercidae,2,376
865,1003,Polyidaceae,1,375
866,613,Rugoglobigerinidae,2,374
867,1016,Sphaerococcaceae,1,371
868,872,Smirnovipinidae,2,369
869,1023,Nuuanuidae,2,367
870,1012,Microcionidae,2,366
871,1013,Varunidae,3,365
872,1020,Neanuridae,2,363
873,1030,Poaceae,1,362
874,971,Talitridae,2,359
875,945,Coryphaenidae,5,358
876,1010,Corellidae,2,357
877,985,Rhabdonellidae,2,356
878,1018,Sipunculidae,2,355
879,1041,Scolopacidae,4,349
880,911,Corymorphidae,3,348
881,1035,Petromyzontidae,5,343
882,1042,Closteriaceae,1,341
883,914,Leptocytheridae,2,338
884,1034,Munnidae,2,337
885,1046,Tanaididae,2,336
886,1043,Serrivomeridae,4,336
887,1055,Parazoanthidae,3,334
888,994,Undellidae,2,334
889,1045,Rhabdodemaniidae,2,334
890,1050,Bathylagidae,4,331
891,1044,Synuraceae,1,330
892,1053,Codonosigaceae,2,327
893,1027,Phosichthyidae,3,327
894,1019,Raphitomidae,3,325
895,1060,Propeamussiidae,3,324
896,1007,Candonidae,2,324
897,963,Kofoidiniaceae,1,322
898,918,Asterolampraceae,1,320
899,1065,Halopterididae,3,319
900,757,Calciosoleniaceae,1,319
901,967,Ebriopsidaceae,2,319
902,1062,Hapalidiaceae,1,319
903,940,Theoperidae,2,317
904,1037,Glabratellidae,2,315
905,1024,Homolidae,3,314
906,697,Haemulidae,4,314
907,1056,Synodontidae,5,313
908,1072,Isaeidae,2,312
909,1067,Dorippidae,3,311
910,1068,Perophoridae,2,309
911,1069,Lycaeopsidae,2,308
912,1022,Thalestridae,2,307
913,1074,Paratanaoidea incertae sedis,2,305
914,1073,Pinnidae,2,305
915,861,Goniodomataceae,1,302
916,1077,Otoplanidae,2,302
917,1079,Chrysomelidae,2,297
918,1061,Aplysiidae,3,296
919,1083,Halymeniaceae,1,294
920,933,Loxostomatidae,2,291
921,1028,Lituotubidae,2,290
922,1089,Acoetidae,2,289
923,477,Xystonellidae,2,289
924,1059,Ophthalmidiidae,2,289
925,1085,Pandoridae,2,288
926,1081,Dendronotidae,3,285
927,1014,Eouvigerinidae,2,283
928,977,Cytherellidae,2,282
929,1088,Clathrinidae,2,275
930,966,Discorbidae,2,273
931,1097,Lubbockiidae,2,272
932,1109,Eucytheridae,2,270
933,1098,Apogonidae,4,269
934,1112,Cymbellaceae,1,268
935,1114,Chiasmodontidae,4,268
936,1106,Leptodoridae,2,268
937,1033,Velutinidae,3,266
938,1119,Diazonidae,2,265
939,1108,Mastogloiaceae,1,264
940,1021,Mitrocomidae,3,264
941,1104,Ataxophragmiidae,2,261
942,1001,Patellinidae,2,261
943,1128,Entalinidae,2,260
944,1004,Anticomidae,2,260
945,1093,Ostraciidae,4,258
946,1131,Dolichomacrostomidae,2,256
947,807,Plagiacanthidae,2,255
948,1107,Siphonolaimidae,2,254
949,1111,Flabellinidae,2,253
950,995,Spirillinidae,2,253
951,1039,Bolivinoididae,2,247
952,1082,Facelinidae,3,247
953,1005,Hantkeninidae,2,245
954,1140,Callochitonidae,2,241
955,1145,Triticellidae,2,240
956,1084,Bairdiidae,2,240
957,1121,Munnopsidae,2,240
958,1120,Globorotalitidae,2,239
959,1015,Primnoidae,3,238
960,1155,Margaritidae,2,236
961,1156,Basterotiidae,2,235
962,1017,Kornmanniaceae,1,234
963,1115,Cavoliniidae,3,233
964,1141,Nemaliaceae,1,233
965,921,Dictyocystidae,2,231
966,1142,Monocelididae,2,230
967,1149,Nemichthyidae,4,227
968,1100,Bolivinidae,2,226
969,1169,Cicerinidae,2,226
970,1099,Asterigerinatidae,2,226
971,1130,Bramidae,5,226
972,882,Miliolidae,2,224
973,1154,Tetrastemmatidae,2,224
974,1175,Phacaceae,2,224
975,1118,Reussellidae,2,222
976,1166,Cheliplanidae,2,220
977,1087,Caucasinidae,2,219
978,1168,Hydrolithaceae,1,217
979,1151,Heliconoididae,1,216
980,1167,Tripterygiidae,3,214
981,1136,Rzehakinidae,2,214
982,1159,Holocentridae,4,213
983,1189,Tornidae,2,211
984,1132,Astasiaceae,2,210
985,1049,Bonelliidae,2,209
986,1152,Diplopeltoididae,2,209
987,1192,Centrolophidae,4,207
988,1191,Embletoniidae,3,207
989,942,Tintinnidiidae,2,205
990,1203,Ischnochitonidae,2,204
991,1178,Rhizostomatidae,3,203
992,1071,Hemicytheridae,2,202
993,1125,Pyrosomatidae,2,202
994,1113,Solenidae,2,202
995,1200,Dactylopteridae,4,201
996,1008,Caligidae,3,200
997,1123,Collozoidae,2,199
998,1208,Ramalinaceae,2,198
999,1110,Pseudogaudryinidae,2,198
1000,1212,Sporochnaceae,1,192
1001,854,Deflandreaceae,1,192
1002,1135,Bolinopsidae,3,189
1003,1162,Dendrophylliidae,3,189
1004,1196,Ginglymostomatidae,5,187
1005,1223,Retronectidae,2,186
1006,1187,Erythrotrichiaceae,1,185
1007,1177,Rotaliporidae,2,185
1008,1054,Amphisoleniaceae,1,185
1009,1220,Rhizotrichidae,2,184
1010,1139,Siphoninidae,2,182
1011,1164,Stylasteridae,3,182
1012,1219,Cryptosulidae,2,182
1013,1233,Leptopontiidae,2,176
1014,960,Ceratocoryaceae,1,176
1015,1186,Eubranchidae,3,176
1016,1040,Agalmatidae,3,175
1017,1157,Ironidae,2,175
1018,1221,Ligiidae,2,175
1019,1199,Cyaneidae,3,175
1020,1144,Eirenidae,3,173
1021,1230,Brachyscelidae,2,169
1022,1250,Elakatotrichaceae,1,165
1023,1231,Endeidae,3,163
1024,1232,Phascolosomatidae,2,163
1025,1257,Xenophoridae,2,163
1026,1190,Aeolidiidae,2,163
1027,992,Xiphiidae,5,162
1028,1254,Noetiidae,2,161
1029,1180,Trinchesiidae,3,159
1030,1238,Capulidae,2,159
1031,1264,Skeneidae,3,159
1032,1270,Pterocladiaceae,1,156
1033,1268,Scinaiaceae,1,156
1034,1031,Cyttarocylididae,2,156
1035,1271,Spyridiaceae,1,155
1036,1225,Diodontidae,4,153
1037,1227,Cetorhinidae,5,153
1038,1241,Laomediidae,3,152
1039,1272,Umbonulidae,2,152
1040,1051,Clionidae,2,149
1041,1289,Charadriidae,4,143
1042,1292,Nubeculariidae,2,143
1043,1300,Paulinellideae,2,141
1044,352,Monacanthidae,3,139
1045,1304,Cancellariidae,3,137
1046,1288,Parthenopidae,3,137
1047,1299,Lepetidae,2,137
1048,1261,Reophacellidae,2,136
1049,999,Aulacodiscaceae,1,132
1050,1184,Prasiolaceae,1,132
1051,1274,Xestoleberididae,2,131
1052,1240,Ellisellidae,3,131
1053,1298,Oceaniidae,3,131
1054,1255,Cliidae,3,131
1055,1297,Laonidae,2,130
1056,1307,Dactylopusiidae,2,129
1057,1313,Oscarellidae,2,128
1058,1269,Trissocyclidae,2,128
1059,1277,Pterocorythidae,2,126
1060,1337,Hanleyidae,2,125
1061,1244,Dromiidae,3,124
1062,1259,Coryphellidae,2,124
1063,1343,Gadilidae,2,123
1064,1325,Bythocyprididae,2,122
1065,1333,Amphithyridae,2,122
1066,1294,Janolidae,3,121
1067,1322,Malacobdellidae,2,121
1068,1302,Psolidae,2,120
1069,1347,Diascorhynchidae,2,120
1070,1207,Pyloniidae,2,120
1071,1253,Ephippidae,5,120
1072,1356,Diadumenidae,2,119
1073,1204,Tritaxiidae,2,119
1074,1352,Acanthogorgiidae,3,118
1075,1282,Desmosomatidae,2,118
1076,1359,Arenopontiidae,2,118
1077,1330,Skeneopsidae,2,118
1078,1266,Phaennidae,2,118
1079,1320,Walkeriidae,2,116
1080,1360,Evermannellidae,4,116
1081,1258,Monostromataceae,1,116
1082,1295,Epiplocylididae,2,116
1083,1026,Draconematidae,2,116
1084,1350,Haloclavidae,2,115
1085,1275,Euryleptidae,2,114
1086,917,Discamminidae,2,114
1087,1224,Globotextulariidae,2,114
1088,1296,Aschemocellidae,2,114
1089,1368,Timeidae,2,114
1090,1317,Fistulariidae,2,113
1091,1334,Mycalidae,2,112
1092,1314,Discodorididae,2,112
1093,1354,Pseudotachidiidae,2,112
1094,1378,Ovulidae,3,109
1095,1309,Scyllaridae,3,109
1096,1339,Ancorinidae,2,108
1097,1375,Atlantidae,3,108
1098,1401,Prostomatidae,3,105
1099,1105,Zoothamniidae,2,105
1100,1381,Ethusidae,3,104
1101,1396,Paralichthyidae,4,104
1102,1407,Oltmannsiellopsidaceae,1,103
1103,1284,Biedafranciszkinidae,2,102
1104,1362,Heterodiniaceae,1,102
1105,1410,Microstomatidae,3,101
1106,1285,Spongodiscidae,2,101
1107,1318,Grapsidae,3,100
1108,1348,Leptosomatidae,2,100
1109,1002,Ascampbelliellidae,2,100
1110,1377,Hippopodiidae,3,99
1111,1319,Litheliidae,2,98
1112,1403,Cerithiopsidae,3,98
1113,1372,Lamnidae,5,98
1114,1417,Haminoeidae,3,96
1115,1388,Tarvaiidae,2,96
1116,1345,Homotrematidae,2,96
1117,1383,Ulvellaceae,1,95
1118,1429,Derichthyidae,4,93
1119,1393,Plakobranchidae,2,93
1120,1216,Rathkeidae,3,93
1121,1423,Thompsonulidae,2,93
1122,1428,Oneirodidae,3,93
1123,988,Parapontellidae,2,92
1124,1385,Hyalidae,2,92
1125,1431,Psammocyclopinidae,2,92
1126,1422,Barentsiidae,2,90
1127,1435,Peneroplidae,2,90
1128,1366,Rhadinematidae,2,90
1129,1182,Eoglobigerinidae,2,90
1130,1316,Gerreidae,3,88
1131,1433,Normanellidae,2,88
1132,1398,Lopadorrhynchidae,2,88
1133,1412,Stenopodidae,3,87
1134,1449,Archimonocelidae,2,87
1135,1434,Cephalotrichidae,2,87
1136,1395,Enoplidae,2,87
1137,1450,Saccocirridae,2,86
1138,1425,Toxariaceae,1,85
1139,1370,Porpitidae,3,85
1140,1404,Colaconemataceae,1,84
1141,1462,Zosimeidae,2,83
1142,1408,Nummulitidae,2,83
1143,1409,Macrocyprididae,2,83
1144,1389,Ophiopsilidae,2,82
1145,1386,Polycystididae,2,82
1146,1430,Baeriidae,2,82
1147,1439,Rhabditidae,2,80
1148,1468,Actinostolidae,2,79
1149,1437,Tisbidae,2,78
1150,1479,Triphoridae,3,77
1151,1470,Eurypharyngidae,5,76
1152,1497,Opisthoproctidae,3,75
1153,1349,Monstrillidae,2,74
1154,1446,Spumellaria incertae sedis,2,74
1155,1506,Psammorhynchidae,2,72
1156,1459,Lysmatidae,3,71
1157,1447,Cytaeididae,3,71
1158,1137,Bicosoecaceae,2,71
1159,1483,Rissoellidae,3,70
1160,1397,Valvulinidae,2,69
1161,1532,Trocholinidae,4,68
1162,1522,Anoplogastridae,5,68
1163,1500,Coninckiidae,2,68
1164,1457,Diretmidae,3,68
1165,1473,Cribrolinoididae,2,68
1166,1496,Turbinoliidae,3,67
1167,1539,Calycidorididae,3,66
1168,1514,Gempylidae,4,66
1169,1481,Opisthoteuthidae,4,66
1170,1512,Mastoporaceae,1,65
1171,916,Challengeridae,2,64
1172,1549,Notosudidae,4,64
1173,1485,Ichthyolariidae,2,64
1174,1557,Glossiphoniidae,3,63
1175,1530,Typhloscolecidae,2,63
1176,1526,Pontoeciellidae,2,63
1177,1559,Fasciolariidae,3,62
1178,1538,Krohnittidae,3,62
1179,1546,Omalogyridae,3,61
1180,1567,Argestidae,2,61
1181,1126,Heronalleniidae,2,61
1182,1547,Naccariaceae,1,61
1183,1503,Siganidae,3,59
1184,1516,Geryoniidae,3,58
1185,1569,Howellidae,3,58
1186,1510,Holozoidae,2,58
1187,1563,Pomatomidae,5,58
1188,1587,Cyproideidae,2,58
1189,1590,Trachipteridae,5,57
1190,1531,Sphaeronectidae,3,57
1191,1575,Arthrocladiaceae,1,57
1192,1591,Capneidae,2,56
1193,1384,Leptodiscaceae,1,56
1194,1565,Climacospheniaceae,1,56
1195,1586,Anatomidae,2,55
1196,1571,Carinariidae,3,55
1197,1367,Duquepsammiidae,2,55
1198,1599,Tortanidae,2,54
1199,1541,Cyprididae,2,54
1200,1527,Gomphonemataceae,1,54
1201,1528,Scotiellocystoidaceae,1,54
1202,1518,Procerodidae,2,53
1203,1507,Halosauridae,4,53
1204,1595,Hyalocylidae,2,52
1205,1596,Pyrgomatidae,2,52
1206,1456,Eriphiidae,3,52
1207,1525,Zancleidae,3,52
1208,1605,Inachoididae,3,51
1209,1574,Pterotracheidae,3,50
1210,1625,Erpobdellidae,3,49
1211,829,Acanthometridae,2,49
1212,1622,Asterocyclinidae,2,49
1213,1555,Sphyrnidae,5,48
1214,1637,Soritidae,2,48
1215,1644,Nannopodidae,2,47
1216,1642,Corixidae,2,47
1217,1653,Paracytherideidae,2,46
1218,1654,Schizotrichidae,3,46
1219,1629,Halicreatidae,3,46
1220,1628,Ceratiidae,5,46
1221,1519,Calcarinidae,2,45
1222,1665,Colomastigidae,2,45
1223,1608,Hexanchidae,5,44
1224,1661,Clausidiidae,2,44
1225,1643,Acervulinidae,2,44
1226,1523,Areoligeraceae,1,44
1227,1612,Cuninidae,3,44
1228,1600,Priacanthidae,4,43
1229,1635,Alopiidae,5,42
1230,1663,Horaiclavidae,3,42
1231,1421,Textulariopsidae,2,42
1232,1684,Derbesiaceae,1,41
1233,1641,Fosshageniidae,2,41
1234,1618,Protiaridae,3,41
1235,1634,Margelopsidae,3,41
1236,1693,Ariidae,4,40
1237,1686,Murchisonellidae,3,40
1238,1392,Cytheridae,2,40
1239,1655,Magapiidae,3,40
1240,1694,Pulsellidae,2,39
1241,1427,Nematocarcinidae,3,39
1242,1701,Nomeidae,4,38
1243,1630,Tergipedidae,3,38
1244,1672,Orbitolinidae,2,38
1245,1619,Haliclystidae,3,37
1246,1716,Fischerinidae,2,37
1247,1710,Laophontopsidae,2,37
1248,1279,Acipenseridae,4,37
1249,1664,Melanonidae,4,37
1250,1603,Pneumodermatidae,3,36
1251,1676,Sicyoniidae,3,36
1252,1728,Albulidae,4,36
1253,1730,Clathurellidae,3,35
1254,1732,Ethmolaimidae,2,34
1255,1739,Cymatiidae,3,34
1256,1690,Stenocyathidae,3,33
1257,991,Vorticellidae,2,33
1258,1751,Saccopharyngidae,5,33
1259,1394,Ziphiidae,5,33
1260,1757,Mississippinidae,2,33
1261,1753,Polynemidae,4,33
1262,1741,Melicertidae,3,32
1263,1772,Lumbriculidae,2,32
1264,1548,Rotaliidae,2,32
1265,1731,Cepheidae,3,32
1266,1714,Rhinobatidae,4,31
1267,1740,Nullosetigeridae,2,31
1268,1734,Ogcocephalidae,4,31
1269,1783,Hypnomonadaceae,1,30
1270,1737,Cyclopoida incertae sedis,2,30
1271,1770,Cadlinidae,3,29
1272,1791,Galeommatidae,2,29
1273,1802,Lomanotidae,3,28
1274,1648,Acinetidae,2,28
1275,1763,Rataniidae,2,28
1276,1793,Myriopathidae,3,28
1277,1467,Olindiidae,3,28
1278,1766,Anotopteridae,4,27
1279,1817,Ciliopharyngiellidae,2,27
1280,1816,Newtoniellidae,3,27
1281,1711,Coelodendridae,2,27
1282,1729,Arietellidae,2,27
1283,1647,Isididae,3,27
1284,1722,Amphisteginidae,2,26
1285,1810,Saipanettidae,2,26
1286,1697,Cannobotryidae,2,26
1287,1800,Narcinidae,4,26
1288,1823,Fusiturridae,3,26
1289,1822,Alveolinidae,2,26
1290,1775,Albuneidae,3,26
1291,1796,Nausithoidae,3,25
1292,1781,Cassiopeidae,3,25
1293,1828,Tetragonicipitidae,2,25
1294,1312,Acanthochiasmidae,1,25
1295,1717,Kishinouyeidae,3,25
1296,1798,Leucotheidae,3,24
1297,1815,Trichydridae,3,24
1298,1786,Peraclidae,2,24
1299,1585,Sacculinidae,2,24
1300,1851,Scopelarchidae,3,24
1301,1380,Laodiceidae,3,24
1302,1715,Amphiporidae,2,23
1303,1602,Stromateidae,4,23
1304,1825,Coleofasciculaceae,1,23
1305,1799,Pocilloporidae,3,23
1306,1771,Ellobiidae,2,23
1307,1857,Clausiidae,2,23
1308,1795,Cestidae,3,23
1309,1866,Cystiscidae,3,22
1310,1834,Cirrholoveniidae,3,22
1311,1803,Sphaerocorynidae,3,22
1312,1804,Moerisiidae,3,22
1313,1807,Forskaliidae,3,22
1314,1844,Caristiidae,4,22
1315,1838,Carpocaniidae,2,21
1316,1883,Darcythompsoniidae,2,21
1317,1821,Gnathorhynchidae,2,21
1318,1849,Proboscidactylidae,3,20
1319,1897,Pristigasteridae,4,20
1320,1680,Medusettidae,2,20
1321,1589,Flabellidae,3,20
1322,1871,Biemnidae,2,20
1323,1860,Boreohydridae,3,20
1324,1859,Niobiidae,3,20
1325,1853,Coccodiscidae,2,20
1326,1373,Nouriidae,2,20
1327,1910,Sphaeramminidae,2,20
1328,1921,Cyematidae,5,19
1329,1650,Aulacanthidae,2,19
1330,1886,Drilliidae,3,19
1331,1677,Teredinidae,2,19
1332,1830,Schizymeniaceae,1,19
1333,1829,Melanocetidae,3,19
1334,1743,Lepadidae,2,19
1335,1842,Porcellidiidae,2,18
1336,1932,Rondeletiidae,3,18
1337,1925,Lauratonematidae,2,18
1338,1906,Borsoniidae,3,18
1339,1952,Karkinorhynchidae,2,17
1340,1944,Rhizoridae,2,17
1341,1951,Cetomimidae,4,17
1342,1949,Tegastidae,2,16
1343,1968,Oedogoniaceae,1,16
1344,1969,Discocyclinidae,2,16
1345,1954,Chrysogorgiidae,3,16
1346,1831,Aegiridae,3,16
1347,1461,Centropomidae,4,16
1348,1981,Cytherettidae,2,15
1349,1972,Bolbocoleonaceae,1,15
1350,1947,Marginellidae,3,15
1351,1961,Omosudidae,4,15
1352,1903,Runcinidae,2,15
1353,2000,Ringiculidae,3,14
1354,1964,Victoriellidae,2,13
1355,2019,Phyllodicolidae,2,13
1356,2035,Himantolophidae,3,12
1357,2043,Elopidae,4,12
1358,2036,Ephydridae,2,12
1359,2025,Remaneicidae,2,12
1360,2033,Charoniidae,3,12
1361,2032,Desmopteridae,3,12
1362,2049,Paravalvulinidae,2,11
1363,2031,Asterocheridae,2,11
1364,2048,Lampridae,5,11
1365,2047,Recurvirostridae,5,11
1366,1032,Schackoinidae,2,11
1367,2076,Harpacticoida incertae sedis,2,10
1368,2124,Onchidiidae,2,9
1369,2115,Characiaceae,1,9
1370,2097,Linophrynidae,3,9
1371,1995,Eratoidae,3,8
1372,1938,Conorboididae,2,8
1373,2118,Cratenemertidae,2,8
1374,2112,Tetragonuridae,4,8
1375,2175,Halammohydridae,3,7
1376,2176,Leptochilichthyidae,3,7
1377,2183,Scissurellidae,2,7
1378,2168,Architectonicidae,3,7
1379,2027,Schizopathidae,3,7
1380,2227,Nannorhynchididae,2,6
1381,1826,Pterosagittidae,3,6
1382,2214,Clavatulidae,3,6
1383,2226,Tornatinidae,2,6
1384,2152,Miogypsinidae,2,6
1385,2125,Scombrolabracidae,3,6
1386,2234,Pristidae,5,6
1387,2228,Rachycentridae,4,6
1388,2222,Plectorecurvoididae,2,6
1389,2303,Terebridae,3,5
1390,2289,Alepisauridae,4,5
1391,2278,Entophysalidaceae,1,5
1392,2264,Aphanipathidae,3,5
1393,2295,Vitrinellidae,2,5
1394,1788,Gayraliaceae,1,5
1395,2042,Haplophragmiidae,2,5
1396,1882,Lepidocyclinidae,2,5
1397,2127,Placentulinidae,2,4
1398,2059,Hamondiidae,2,4
1399,2352,Truncatellidae,2,4
1400,1958,Cymonomidae,3,4
1401,2268,Gigantactinidae,3,4
1402,2436,Boldiaceae,1,3
1403,2422,Planaxidae,2,3
1404,2398,Lacosteinidae,2,3
1405,1847,Tribonemataceae,1,3
1406,2293,Schmiziellaceae,1,3
1407,1584,Protohydridae,3,3
1408,2235,Seguenziidae,2,3
1409,1957,Deltocyathidae,2,3
1410,2204,Batillipedidae,2,3
1411,2435,Discoidae,2,3
1412,2447,Granulinidae,3,3
1413,2568,Pseudodiaptomidae,2,2
1414,2566,Heleninidae,2,2
1415,2533,Giganturidae,5,2
1416,2574,Lysiosquillidae,2,2
1417,2519,Coskinolinidae,2,2
1418,2504,Diplogastridae,2,2
1419,2476,Stipitococcaceae,1,2
1420,2584,Gomontiaceae,1,2
1421,2131,Petrospongiaceae,1,2
1422,2386,Capsosiphonaceae,1,2
1423,1862,Emplectonematidae,2,2
1424,2101,Turbanellidae,2,2
1425,2779,Vanikoridae,2,1
1426,2753,Psammocytheridae,2,1
1427,2746,Bolinidae,3,1
1428,2729,Radiicephalidae,4,1
1429,2690,Cephalodasyidae,2,1
1430,2675,Neoceratiidae,3,1
1431,2660,Liotiidae,2,1
1432,2654,Gibberichthyidae,3,1
1433,2642,Pellatispiridae,2,1
1434,2613,Clistosaccidae,2,1
1435,2145,Entoniscidae,2,1
1436,2607,Haplopharyngidae,2,1
1437,2604,Pseudolividae,3,1
1438,2014,Hemioniscidae,2,1
1439,2806,Globuligerinidae,2,1
1440,2544,Xylophagaidae,2,1
1441,2346,Acratiidae,2,1
1442,2357,Placopsilinidae,2,1
1443,2385,Macrodasyidae,2,1
1444,2635,Cordagalmatidae,3,1
1445,2808,Schizocyathidae,3,1
