id,level,cluster_high_threshold,cluster_low_threshold,label,mode,family_num
144,1,159,13,Mixed,3,14965
145,3,134,11,Mixed,3,14780
147,2,12,1,Mixed,3,14598
148,4,15,2,Mixed,3,14498
149,1,29,2,Mixed,3,14379
150,1,4,1,Mixed,3,14319
152,2,1,1,Mixed,3,14107
153,2,12,1,Mixed,3,13891
157,1,180,13,Mixed,3,13785
158,2,154,12,Mixed,3,13733
159,2,2,1,Mixed,3,13421
161,2,199,13,Mixed,3,13050
162,2,131,11,Mixed,3,12963
165,1,16,2,Mixed,3,12163
166,1,132,11,Mixed,3,12042
169,1,19,2,Mixed,3,11646
171,4,32,2,Mixed,3,11617
172,2,18,2,Mixed,3,11535
175,2,177,13,Mixed,3,11277
185,2,157,12,Mixed,3,10422
187,1,9,1,Mixed,3,10333
189,2,179,13,Mixed,3,10236
191,2,142,12,Mixed,3,10192
202,1,156,12,Mixed,3,8989
203,1,169,13,Mixed,3,8968
205,2,174,13,Mixed,3,8727
206,1,8,1,Mixed,3,8696
210,2,184,13,Mixed,3,8252
214,3,165,13,Mixed,3,8054
216,3,202,13,Mixed,3,7936
217,2,143,12,Mixed,3,7824
218,2,173,13,Mixed,3,7760
220,3,107,7,Mixed,3,7558
222,2,194,13,Mixed,3,7318
227,2,136,11,Mixed,3,6976
231,2,11,1,Mixed,3,6598
232,2,12,1,Mixed,3,6499
234,3,97,5,Mixed,3,6433
235,3,10,1,Mixed,3,6390
236,1,165,13,Mixed,3,6388
237,3,130,11,Mixed,3,6387
241,2,190,13,Mixed,3,6290
242,1,108,7,Mixed,3,6288
250,3,117,10,Mixed,3,6044
252,2,191,13,Mixed,3,5908
253,2,147,12,Mixed,3,5904
254,1,9,1,Mixed,3,5895
258,1,3,1,Mixed,3,5729
259,2,165,13,Mixed,3,5684
262,2,192,13,Mixed,3,5609
263,2,185,13,Mixed,3,5495
264,5,104,6,Mixed,3,5431
267,2,165,13,Mixed,3,5275
269,2,177,13,Mixed,3,5172
273,3,118,10,Mixed,3,5023
275,2,172,13,Mixed,3,4993
276,2,165,13,Mixed,3,4944
278,1,189,13,Mixed,3,4814
281,1,172,13,Mixed,3,4803
283,2,137,11,Mixed,3,4771
284,3,120,10,Mixed,3,4685
287,2,139,12,Mixed,3,4498
288,5,135,11,Mixed,3,4455
289,2,166,13,Mixed,3,4426
290,4,165,13,Mixed,3,4354
293,2,15,2,Mixed,3,4271
297,1,165,13,Mixed,3,4082
298,2,112,8,Mixed,3,3965
301,2,188,13,Mixed,3,3876
304,2,35,2,Mixed,3,3748
311,5,9,1,Mixed,3,3635
313,3,99,6,Mixed,3,3593
314,1,116,9,Mixed,3,3582
316,2,173,13,Mixed,3,3567
317,3,20,2,Mixed,3,3514
318,1,165,13,Mixed,3,3448
322,1,165,13,Mixed,3,3395
324,2,191,13,Mixed,3,3358
325,1,160,13,Mixed,3,3305
326,2,14,1,Mixed,3,3299
327,1,138,11,Mixed,3,3288
331,1,160,13,Mixed,3,3174
334,1,165,13,Mixed,3,3091
336,2,197,13,Mixed,3,3059
338,3,172,13,Mixed,3,3055
341,3,158,12,Mixed,3,3001
343,2,124,10,Mixed,3,2986
344,3,191,13,Mixed,3,2968
347,5,160,13,Mixed,3,2939
348,2,181,13,Mixed,3,2933
351,1,197,13,Mixed,3,2834
353,2,151,12,Mixed,3,2811
355,4,31,2,Mixed,3,2772
356,3,201,13,Mixed,3,2674
358,2,193,13,Mixed,3,2663
359,2,159,13,Mixed,3,2638
362,1,186,13,Mixed,3,2556
367,2,123,10,Mixed,3,2431
368,1,3,1,Mixed,3,2417
371,3,33,2,Mixed,3,2392
372,1,165,13,Mixed,3,2376
373,3,165,13,Mixed,3,2374
374,1,12,1,Mixed,3,2361
378,2,125,10,Mixed,3,2299
379,2,167,13,Mixed,3,2296
382,1,19,2,Mixed,3,2204
383,2,162,13,Mixed,3,2202
385,3,23,2,Mixed,3,2184
390,4,7,1,Mixed,3,2140
391,2,163,13,Mixed,3,2137
394,2,165,13,Mixed,3,2103
396,1,191,13,Mixed,3,2066
403,2,168,13,Mixed,3,1977
407,2,173,13,Mixed,3,1864
409,3,191,13,Mixed,3,1822
412,2,30,2,Mixed,3,1786
415,3,195,13,Mixed,3,1723
417,3,140,12,Mixed,3,1707
418,2,110,8,Mixed,3,1695
419,2,148,12,Mixed,3,1684
421,4,165,13,Mixed,3,1641
436,3,183,13,Mixed,3,1425
440,3,195,13,Mixed,3,1406
443,2,160,13,Mixed,3,1356
445,2,114,9,Mixed,3,1328
447,3,101,6,Mixed,3,1322
449,2,198,13,Mixed,3,1312
450,2,146,12,Mixed,3,1312
451,3,19,2,Mixed,3,1310
454,3,165,13,Mixed,3,1228
456,2,166,13,Mixed,3,1195
457,2,102,6,Mixed,3,1173
458,2,115,9,Mixed,3,1167
460,1,162,13,Mixed,3,1156
462,3,21,2,Mixed,3,1154
464,2,105,6,Mixed,3,1136
470,2,126,10,Mixed,3,1073
479,2,119,10,Mixed,3,944
480,2,133,11,Mixed,3,931
482,2,103,6,Mixed,3,903
490,1,4,1,Mixed,3,862
495,2,144,12,Mixed,3,844
497,2,98,5,Mixed,3,810
500,2,176,13,Mixed,3,802
506,2,6,1,Mixed,3,765
511,2,127,10,Mixed,3,688
514,2,129,11,Mixed,3,645
516,3,190,13,Mixed,3,615
518,3,186,13,Mixed,3,605
519,2,12,1,Mixed,3,601
520,2,135,11,Mixed,3,601
522,1,134,11,Mixed,3,580
525,2,159,13,Mixed,3,551
526,2,122,10,Mixed,3,534
535,2,121,10,Mixed,3,441
536,2,100,6,Mixed,3,436
537,2,113,8,Mixed,3,430
539,2,160,13,Mixed,3,427
544,3,203,13,Mixed,3,385
546,1,13,1,Mixed,3,362
548,2,166,13,Mixed,3,336
549,3,165,13,Mixed,3,325
551,3,174,13,Mixed,3,296
552,2,164,13,Mixed,3,289
558,2,26,2,Mixed,3,120
