Unnamed: 0,family,level,defined_year,median,count,count_by_year,range1_count,range2_count,range3_count
303,Acteonidae,3,1971.0,22.5308,1112,2,2,1080,30
304,Acteonidae,3,1972.0,58.33837,1112,1,2,1080,30
305,Acteonidae,3,1975.0,53.32166,1112,1,2,1080,30
306,Acteonidae,3,1978.0,51.73948,1112,7,2,1080,30
307,Acteonidae,3,1979.0,45.57944,1112,37,2,1080,30
308,Acteonidae,3,1980.0,48.8027778,1112,1,2,1080,30
309,Acteonidae,3,1982.0,53.0138889,1112,2,2,1080,30
310,Acteonidae,3,1984.0,48.8027778,1112,1,2,1080,30
311,Acteonidae,3,1985.0,52.94176,1112,7,2,1080,30
312,Acteonidae,3,1986.0,56.125,1112,16,2,1080,30
313,Acteonidae,3,1987.0,56.44065,1112,4,2,1080,30
314,Acteonidae,3,1988.0,55.647355000000005,1112,2,2,1080,30
315,Acteonidae,3,1989.0,51.73483607472944,1112,16,2,1080,30
316,Acteonidae,3,1990.0,56.4224,1112,5,2,1080,30
317,Acteonidae,3,1991.0,52.96667,1112,22,2,1080,30
318,Acteonidae,3,1992.0,55.530436,1112,20,2,1080,30
319,Acteonidae,3,1993.0,54.0002,1112,9,2,1080,30
320,Acteonidae,3,1994.0,54.10102,1112,5,2,1080,30
321,Acteonidae,3,1995.0,53.951,1112,17,2,1080,30
322,Acteonidae,3,1996.0,54.081335,1112,42,2,1080,30
323,Acteonidae,3,1997.0,54.030505000000005,1112,20,2,1080,30
324,Acteonidae,3,1998.0,57.93167,1112,21,2,1080,30
325,Acteonidae,3,1999.0,56.0419018,1112,27,2,1080,30
326,Acteonidae,3,2000.0,56.07482,1112,27,2,1080,30
327,Acteonidae,3,2001.0,56.805285,1112,28,2,1080,30
328,Acteonidae,3,2002.0,57.0,1112,15,2,1080,30
329,Acteonidae,3,2003.0,51.65167,1112,66,2,1080,30
330,Acteonidae,3,2004.0,53.33875,1112,33,2,1080,30
331,Acteonidae,3,2005.0,53.484405,1112,56,2,1080,30
332,Acteonidae,3,2006.0,53.33882,1112,26,2,1080,30
333,Acteonidae,3,2007.0,52.73883,1112,27,2,1080,30
334,Acteonidae,3,2008.0,51.78611245312063,1112,33,2,1080,30
335,Acteonidae,3,2009.0,56.33025,1112,21,2,1080,30
336,Acteonidae,3,2010.0,55.541145,1112,32,2,1080,30
337,Acteonidae,3,2011.0,51.74,1112,67,2,1080,30
338,Acteonidae,3,2012.0,55.6137,1112,149,2,1080,30
339,Acteonidae,3,2013.0,51.71,1112,64,2,1080,30
340,Acteonidae,3,2014.0,51.72138,1112,97,2,1080,30
341,Acteonidae,3,2015.0,52.79596,1112,25,2,1080,30
342,Acteonidae,3,2016.0,53.93931736,1112,20,2,1080,30
343,Acteonidae,3,2017.0,51.6799,1112,8,2,1080,30
344,Acteonidae,3,2018.0,52.691,1112,6,2,1080,30
345,Acteonidae,3,2019.0,53.9699,1112,15,2,1080,30
346,Acteonidae,3,2020.0,53.271342045,1112,12,2,1080,30
347,Actiniidae,3,1970.0,56.77291977959364,20368,10,15,19904,449
348,Actiniidae,3,1971.0,53.852295,20368,2,15,19904,449
349,Actiniidae,3,1972.0,54.35862,20368,1,15,19904,449
350,Actiniidae,3,1973.0,51.7329,20368,51,15,19904,449
351,Actiniidae,3,1974.0,53.4174,20368,78,15,19904,449
352,Actiniidae,3,1975.0,51.51429,20368,52,15,19904,449
353,Actiniidae,3,1976.0,54.39178,20368,41,15,19904,449
