Unnamed: 0,family,level,defined_year,median,count,count_by_year,range1_count,range2_count,range3_count
771,Alcidae,5,1985.0,55.91997,15642,1,0,15093,549
772,Alcidae,5,1989.0,51.18,15642,173,0,15093,549
773,Alcidae,5,1993.0,51.17833,15642,749,0,15093,549
774,Alcidae,5,1994.0,51.30667,15642,799,0,15093,549
775,Alcidae,5,1995.0,51.29333,15642,612,0,15093,549
776,Alcidae,5,1996.0,51.30833,15642,585,0,15093,549
777,Alcidae,5,1997.0,51.429855,15642,750,0,15093,549
778,Alcidae,5,1998.0,51.474,15642,825,0,15093,549
779,Alcidae,5,1999.0,53.750952,15642,2223,0,15093,549
780,Alcidae,5,2000.0,53.616425,15642,1828,0,15093,549
781,Alcidae,5,2001.0,51.50339,15642,2387,0,15093,549
782,Alcidae,5,2002.0,51.38584,15642,838,0,15093,549
783,Alcidae,5,2003.0,51.50992,15642,667,0,15093,549
784,Alcidae,5,2004.0,51.39653,15642,471,0,15093,549
785,Alcidae,5,2005.0,51.455905,15642,690,0,15093,549
786,Alcidae,5,2006.0,51.54971,15642,849,0,15093,549
787,Alcidae,5,2007.0,51.43954,15642,529,0,15093,549
788,Alcidae,5,2008.0,51.52034,15642,642,0,15093,549
789,Alcidae,5,2010.0,54.30710308724504,15642,7,0,15093,549
790,Alcidae,5,2012.0,58.897195,15642,2,0,15093,549
791,Alcidae,5,2015.0,58.389215,15642,2,0,15093,549
792,Alcidae,5,2019.0,58.52362,15642,13,0,15093,549
3215,Belonidae,5,1970.0,51.843335675000006,969,28,21,931,17
3216,Belonidae,5,1971.0,42.72938396,969,5,21,931,17
3217,Belonidae,5,1972.0,42.72938396,969,5,21,931,17
3218,Belonidae,5,1973.0,42.72938396,969,5,21,931,17
3219,Belonidae,5,1975.0,42.72938396,969,5,21,931,17
3220,Belonidae,5,1976.0,42.72938396,969,5,21,931,17
3221,Belonidae,5,1977.0,42.72938396,969,6,21,931,17
3222,Belonidae,5,1978.0,42.72938396,969,4,21,931,17
3223,Belonidae,5,1979.0,42.72938396,969,7,21,931,17
3224,Belonidae,5,1980.0,42.72938396,969,5,21,931,17
3225,Belonidae,5,1981.0,50.05345,969,9,21,931,17
3226,Belonidae,5,1982.0,42.72938396,969,5,21,931,17
3227,Belonidae,5,1983.0,42.72938396,969,7,21,931,17
3228,Belonidae,5,1984.0,42.72938396,969,5,21,931,17
3229,Belonidae,5,1985.0,42.72938396,969,5,21,931,17
3230,Belonidae,5,1986.0,42.72938396,969,5,21,931,17
3231,Belonidae,5,1987.0,42.72938396,969,8,21,931,17
