Unnamed: 0,family,level,defined_year,median,count,count_by_year,range1_count,range2_count,range3_count
135,Achnanthaceae,1,1970.0,42.552193333333335,1240,2,12,1135,93
136,Achnanthaceae,1,1971.0,51.08888889,1240,7,12,1135,93
137,Achnanthaceae,1,1972.0,42.77777777833333,1240,4,12,1135,93
138,Achnanthaceae,1,1973.0,59.941,1240,6,12,1135,93
139,Achnanthaceae,1,1974.0,60.143,1240,2,12,1135,93
140,Achnanthaceae,1,1975.0,34.1,1240,1,12,1135,93
141,Achnanthaceae,1,1976.0,34.025,1240,2,12,1135,93
142,Achnanthaceae,1,1977.0,51.255555555556,1240,5,12,1135,93
143,Achnanthaceae,1,1979.0,60.1285,1240,2,12,1135,93
144,Achnanthaceae,1,1983.0,60.31219,1240,1,12,1135,93
145,Achnanthaceae,1,1987.0,44.67361,1240,12,12,1135,93
146,Achnanthaceae,1,1988.0,44.67361,1240,4,12,1135,93
147,Achnanthaceae,1,1989.0,49.276775,1240,2,12,1135,93
148,Achnanthaceae,1,1990.0,44.67361,1240,9,12,1135,93
149,Achnanthaceae,1,1991.0,43.37815,1240,8,12,1135,93
150,Achnanthaceae,1,1992.0,43.45248,1240,4,12,1135,93
151,Achnanthaceae,1,1993.0,43.44931,1240,21,12,1135,93
152,Achnanthaceae,1,1994.0,43.37815,1240,7,12,1135,93
153,Achnanthaceae,1,1995.0,43.37815,1240,30,12,1135,93
154,Achnanthaceae,1,1996.0,44.41611111111111,1240,36,12,1135,93
155,Achnanthaceae,1,1997.0,44.588975,1240,6,12,1135,93
156,Achnanthaceae,1,1998.0,45.3167,1240,23,12,1135,93
157,Achnanthaceae,1,1999.0,46.25,1240,5,12,1135,93
158,Achnanthaceae,1,2000.0,43.37815,1240,7,12,1135,93
159,Achnanthaceae,1,2001.0,43.37815,1240,12,12,1135,93
160,Achnanthaceae,1,2002.0,43.37815,1240,10,12,1135,93
161,Achnanthaceae,1,2003.0,44.586225,1240,8,12,1135,93
162,Achnanthaceae,1,2004.0,43.37265,1240,6,12,1135,93
163,Achnanthaceae,1,2005.0,45.5,1240,10,12,1135,93
164,Achnanthaceae,1,2006.0,43.957465,1240,10,12,1135,93
165,Achnanthaceae,1,2007.0,43.37265,1240,6,12,1135,93
166,Achnanthaceae,1,2008.0,62.65216,1240,12,12,1135,93
167,Achnanthaceae,1,2009.0,55.718333,1240,25,12,1135,93
168,Achnanthaceae,1,2010.0,55.2502,1240,33,12,1135,93
169,Achnanthaceae,1,2011.0,55.5077,1240,74,12,1135,93
170,Achnanthaceae,1,2012.0,59.196345,1240,68,12,1135,93
171,Achnanthaceae,1,2013.0,57.62515,1240,96,12,1135,93
172,Achnanthaceae,1,2014.0,54.719067,1240,108,12,1135,93
173,Achnanthaceae,1,2015.0,54.429,1240,167,12,1135,93
174,Achnanthaceae,1,2016.0,52.57472,1240,105,12,1135,93
175,Achnanthaceae,1,2017.0,52.1375,1240,109,12,1135,93
176,Achnanthaceae,1,2018.0,52.12639,1240,86,12,1135,93
177,Achnanthaceae,1,2019.0,52.195,1240,65,12,1135,93
178,Achnanthaceae,1,2020.0,52.1375,1240,24,12,1135,93
226,Acinetosporaceae,1,1973.0,51.93787,3682,1,2,3665,15
227,Acinetosporaceae,1,1975.0,55.49120934188571,3682,6,2,3665,15
228,Acinetosporaceae,1,1977.0,51.3542,3682,5,2,3665,15
229,Acinetosporaceae,1,1978.0,56.569365,3682,12,2,3665,15
230,Acinetosporaceae,1,1979.0,53.292285,3682,2,2,3665,15
231,Acinetosporaceae,1,1980.0,58.0028,3682,3,2,3665,15
232,Acinetosporaceae,1,1981.0,53.13504,3682,7,2,3665,15
233,Acinetosporaceae,1,1983.0,49.94017,3682,5,2,3665,15
234,Acinetosporaceae,1,1984.0,54.804535,3682,28,2,3665,15
235,Acinetosporaceae,1,1985.0,54.38802,3682,53,2,3665,15
236,Acinetosporaceae,1,1986.0,54.38716,3682,104,2,3665,15
237,Acinetosporaceae,1,1987.0,55.24301,3682,6,2,3665,15
238,Acinetosporaceae,1,1988.0,56.64987,3682,2,2,3665,15
239,Acinetosporaceae,1,1990.0,57.60719,3682,1,2,3665,15
240,Acinetosporaceae,1,1991.0,54.071015,3682,2,2,3665,15
241,Acinetosporaceae,1,1993.0,51.084585,3682,2,2,3665,15
242,Acinetosporaceae,1,1994.0,74.36725000000001,3682,2,2,3665,15
243,Acinetosporaceae,1,1996.0,58.56218,3682,6,2,3665,15
