Unnamed: 0,family,level,defined_year,median,count,count_by_year,range1_count,range2_count,range3_count
0,Acanthochitonidae,2,1971.0,22.55915,768,2,2,761,5
1,Acanthochitonidae,2,1972.0,54.40511,768,1,2,761,5
2,Acanthochitonidae,2,1974.0,54.47344,768,1,2,761,5
3,Acanthochitonidae,2,1977.0,50.11364,768,1,2,761,5
4,Acanthochitonidae,2,1978.0,57.101285,768,2,2,761,5
5,Acanthochitonidae,2,1980.0,55.67096,768,1,2,761,5
6,Acanthochitonidae,2,1983.0,56.47653,768,2,2,761,5
7,Acanthochitonidae,2,1984.0,58.36455,768,4,2,761,5
8,Acanthochitonidae,2,1985.0,54.482775,768,10,2,761,5
9,Acanthochitonidae,2,1986.0,54.47104,768,11,2,761,5
10,Acanthochitonidae,2,1987.0,57.92033,768,4,2,761,5
11,Acanthochitonidae,2,1988.0,51.355068898464296,768,4,2,761,5
12,Acanthochitonidae,2,1989.0,45.5585,768,3,2,761,5
13,Acanthochitonidae,2,1991.0,52.678875000000005,768,4,2,761,5
14,Acanthochitonidae,2,1992.0,54.357195,768,10,2,761,5
15,Acanthochitonidae,2,1993.0,51.74214412521518,768,8,2,761,5
16,Acanthochitonidae,2,1994.0,54.08051,768,13,2,761,5
17,Acanthochitonidae,2,1995.0,50.79238,768,15,2,761,5
18,Acanthochitonidae,2,1996.0,52.023300000000006,768,10,2,761,5
19,Acanthochitonidae,2,1997.0,52.76679,768,3,2,761,5
20,Acanthochitonidae,2,1998.0,53.236965,768,36,2,761,5
21,Acanthochitonidae,2,1999.0,53.995,768,45,2,761,5
22,Acanthochitonidae,2,2000.0,53.78197,768,18,2,761,5
23,Acanthochitonidae,2,2001.0,51.55839480181373,768,10,2,761,5
24,Acanthochitonidae,2,2002.0,50.54173,768,10,2,761,5
25,Acanthochitonidae,2,2003.0,51.73675,768,14,2,761,5
26,Acanthochitonidae,2,2004.0,50.669025000000005,768,46,2,761,5
27,Acanthochitonidae,2,2005.0,50.2819,768,73,2,761,5
28,Acanthochitonidae,2,2006.0,48.3868,768,53,2,761,5
29,Acanthochitonidae,2,2007.0,51.573275,768,58,2,761,5
30,Acanthochitonidae,2,2008.0,50.60962,768,28,2,761,5
31,Acanthochitonidae,2,2009.0,52.82889644281245,768,32,2,761,5
32,Acanthochitonidae,2,2010.0,50.53947,768,22,2,761,5
33,Acanthochitonidae,2,2011.0,50.8401,768,29,2,761,5
34,Acanthochitonidae,2,2012.0,50.42909,768,65,2,761,5
35,Acanthochitonidae,2,2013.0,50.87405,768,48,2,761,5
36,Acanthochitonidae,2,2014.0,52.82945,768,29,2,761,5
37,Acanthochitonidae,2,2015.0,52.829495,768,26,2,761,5
38,Acanthochitonidae,2,2016.0,54.45866,768,7,2,761,5
39,Acanthochitonidae,2,2017.0,54.07366,768,1,2,761,5
40,Acanthochitonidae,2,2018.0,50.78944,768,5,2,761,5
41,Acanthochitonidae,2,2019.0,54.53323,768,3,2,761,5
42,Acanthochitonidae,2,2020.0,55.355,768,1,2,761,5
43,Acanthoecidae,2,1975.0,60.08,1797,12,0,1350,447
44,Acanthoecidae,2,1976.0,60.1055,1797,2,0,1350,447
45,Acanthoecidae,2,1979.0,55.0,1797,17,0,1350,447
46,Acanthoecidae,2,1981.0,56.856667,1797,12,0,1350,447
47,Acanthoecidae,2,1982.0,56.666667,1797,13,0,1350,447
48,Acanthoecidae,2,1983.0,56.856667,1797,11,0,1350,447
49,Acanthoecidae,2,1984.0,60.08,1797,15,0,1350,447
50,Acanthoecidae,2,1985.0,60.083,1797,4,0,1350,447
51,Acanthoecidae,2,1986.0,62.583333,1797,3,0,1350,447
52,Acanthoecidae,2,1987.0,46.3333,1797,15,0,1350,447
53,Acanthoecidae,2,1988.0,45.5333,1797,3,0,1350,447
54,Acanthoecidae,2,1989.0,55.8025,1797,3,0,1350,447
55,Acanthoecidae,2,1990.0,55.8025,1797,4,0,1350,447
56,Acanthoecidae,2,1991.0,56.49167,1797,24,0,1350,447
57,Acanthoecidae,2,1992.0,58.3125,1797,5,0,1350,447
58,Acanthoecidae,2,1993.0,56.49167,1797,10,0,1350,447
59,Acanthoecidae,2,1994.0,57.67817,1797,15,0,1350,447
60,Acanthoecidae,2,1995.0,59.217,1797,4,0,1350,447
61,Acanthoecidae,2,1997.0,51.91,1797,4,0,1350,447
62,Acanthoecidae,2,1999.0,57.933,1797,6,0,1350,447
63,Acanthoecidae,2,2000.0,59.3329165,1797,24,0,1350,447
64,Acanthoecidae,2,2001.0,59.619167,1797,25,0,1350,447
65,Acanthoecidae,2,2002.0,59.631667,1797,31,0,1350,447
66,Acanthoecidae,2,2003.0,59.618333,1797,28,0,1350,447
67,Acanthoecidae,2,2004.0,58.2715,1797,48,0,1350,447
68,Acanthoecidae,2,2005.0,46.4667,1797,128,0,1350,447
69,Acanthoecidae,2,2006.0,58.34333,1797,36,0,1350,447
70,Acanthoecidae,2,2007.0,59.32225,1797,24,0,1350,447
71,Acanthoecidae,2,2008.0,56.565,1797,30,0,1350,447
72,Acanthoecidae,2,2009.0,56.565,1797,57,0,1350,447
73,Acanthoecidae,2,2010.0,57.6675,1797,121,0,1350,447
74,Acanthoecidae,2,2011.0,57.36,1797,61,0,1350,447
75,Acanthoecidae,2,2012.0,59.77367,1797,163,0,1350,447
76,Acanthoecidae,2,2013.0,59.77368,1797,180,0,1350,447
77,Acanthoecidae,2,2014.0,59.77368,1797,192,0,1350,447
78,Acanthoecidae,2,2015.0,59.81517,1797,180,0,1350,447
79,Acanthoecidae,2,2016.0,59.03333,1797,148,0,1350,447
80,Acanthoecidae,2,2017.0,60.09428,1797,43,0,1350,447
